,사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
0,2022-10,1호선,150,서울역,"1,307,627","1,279,921","218,542","210,320",2022-11-03 10:23:08
1,2022-10,1호선,151,시청,"638,454","654,541","119,508","116,903",2022-11-03 10:23:08
2,2022-10,1호선,152,종각,"893,135","864,755","153,798","143,813",2022-11-03 10:23:08
3,2022-10,1호선,153,종로3가,"499,373","442,702","319,982","296,084",2022-11-03 10:23:08
4,2022-10,1호선,154,종로5가,"442,041","447,014","260,373","250,139",2022-11-03 10:23:08
5,2022-10,1호선,155,동대문,"231,006","219,104","124,571","124,404",2022-11-03 10:23:08
6,2022-10,1호선,156,신설동,"280,677","270,784","121,048","116,766",2022-11-03 10:23:08
7,2022-10,1호선,157,제기동,"234,930","222,417","287,970","309,026",2022-11-03 10:23:08
8,2022-10,1호선,158,청량리(서울시립대입구),"345,240","346,252","261,608","265,382",2022-11-03 10:23:08
9,2022-10,1호선,159,동묘앞,"144,243","154,090","166,501","169,644",2022-11-03 10:23:08
10,2022-10,2호선,201,시청,"615,600","585,843","64,011","57,360",2022-11-03 10:23:08
11,2022-10,2호선,202,을지로입구,"1,117,722","1,140,577","103,892","95,993",2022-11-03 10:23:08
12,2022-10,2호선,203,을지로3가,"575,411","568,927","77,891","76,037",2022-11-03 10:23:08
13,2022-10,2호선,204,을지로4가,"292,765","297,553","79,485","78,742",2022-11-03 10:23:08
14,2022-10,2호선,205,동대문역사문화공원(DDP),"360,827","417,562","57,641","62,966",2022-11-03 10:23:08
15,2022-10,2호선,206,신당,"322,718","337,779","95,107","96,417",2022-11-03 10:23:08
16,2022-10,2호선,207,상왕십리,"341,048","324,122","65,807","66,349",2022-11-03 10:23:08
17,2022-10,2호선,208,왕십리(성동구청),"437,696","362,854","53,676","45,468",2022-11-03 10:23:08
18,2022-10,2호선,209,한양대,"327,403","361,740","15,792","16,655",2022-11-03 10:23:08
19,2022-10,2호선,210,뚝섬,"576,341","610,719","59,863","60,409",2022-11-03 10:23:08
20,2022-10,2호선,211,성수,"924,271","1,026,319","101,576","103,500",2022-11-03 10:23:08
21,2022-10,2호선,212,건대입구,"989,589","1,068,135","91,708","95,960",2022-11-03 10:23:08
22,2022-10,2호선,213,구의(광진구청),"573,836","554,418","103,930","104,984",2022-11-03 10:23:08
23,2022-10,2호선,214,강변(동서울터미널),"861,528","822,368","130,477","127,218",2022-11-03 10:23:08
24,2022-10,2호선,215,잠실나루,"319,912","308,732","85,070","84,202",2022-11-03 10:23:08
25,2022-10,2호선,216,잠실(송파구청),"2,190,921","2,159,810","218,589","204,196",2022-11-03 10:23:08
26,2022-10,2호선,217,잠실새내,"534,621","539,428","111,248","110,998",2022-11-03 10:23:08
27,2022-10,2호선,218,종합운동장,"354,262","401,709","58,716","62,041",2022-11-03 10:23:08
28,2022-10,2호선,219,삼성(무역센터),"1,346,785","1,364,138","119,778","111,744",2022-11-03 10:23:08
29,2022-10,2호선,220,선릉,"1,249,025","1,107,006","218,529","193,370",2022-11-03 10:23:08
30,2022-10,2호선,221,역삼,"1,148,063","1,316,325","141,520","144,343",2022-11-03 10:23:08
31,2022-10,2호선,222,강남,"2,031,810","1,995,096","154,887","135,269",2022-11-03 10:23:08
32,2022-10,2호선,223,교대(법원.검찰청),"744,179","846,296","150,210","170,435",2022-11-03 10:23:08
